Index,City,State,Population Density (Persons/Square Mile),2016 Population,Area,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",OtherCity,OtherState,County,Zip,Country,Source
132,Brownsville," Texas",1389,183823,132,25.963264,-97.550453,1,place,,,,,Brownsville,TX,"Cameron County",78520,US,"TIGER/Line® dataset from the US Census Bureau"
133,Tempe," Arizona",4570,182498,40,33.401395,-111.931298,1,place,,,,,Tempe,AZ,"Maricopa County",85280,US,"TIGER/Line® dataset from the US Census Bureau"
134,"Santa Clarita"," California",3452,181972,53,34.440891,-118.501748,1,place,,,,,"Santa Clarita",CA,"Los Angeles County",91350,US,"TIGER/Line® dataset from the US Census Bureau"
135,"Newport News"," Virginia",2646,181825,69,37.058296,-76.463471,1,place,,,,,"Newport News",VA,"Newport News City",23601,US,"TIGER/Line® dataset from the US Census Bureau"
136,"Cape Coral"," Florida",1702,179804,106,26.606491,-81.95016,1,place,,,,,"Cape Coral",FL,"Lee County",33904,US,"TIGER/Line® dataset from the US Census Bureau"
137,Providence," Rhode Island",9740,179219,18,41.81835,-71.424851,1,place,,,,,Providence,RI,"Providence County",02902,US,"TIGER/Line® dataset from the US Census Bureau"
138,"Fort Lauderdale"," Florida",5141,178752,35,26.121323,-80.127909,1,place,,,,,"Fort Lauderdale",FL,"Broward County",33301,US,"TIGER/Line® dataset from the US Census Bureau"
139,Chattanooga," Tennessee",1295,177571,137,35.017818,-85.206426,1,place,,,,,Chattanooga,TN,"Hamilton County",37401,US,"TIGER/Line® dataset from the US Census Bureau"
140,"Rancho Cucamonga"," California",4430,176534,40,34.839964,-115.967051,1,place,,,,,"Rancho Cucamonga",CA,"San Bernardino County",91729,US,"TIGER/Line® dataset from the US Census Bureau"
141,Oceanside," California",4256,175464,41,33.195534,-117.354538,1,place,,,,,Oceanside,CA,"San Diego County",92054,US,"TIGER/Line® dataset from the US Census Bureau"
142,"Santa Rosa"," California",4242,175155,41,38.450412,-122.783159,1,place,,,,,"Santa Rosa",CA,"Sonoma County",95401,US,"TIGER/Line® dataset from the US Census Bureau"
143,"Garden Grove"," California",9747,174858,18,33.787165,-117.931889,1,place,,,,,"Garden Grove",CA,"Orange County",92840,US,"TIGER/Line® dataset from the US Census Bureau"
144,Vancouver," Washington",3763,174826,46,45.678996,-122.720499,1,place,,,,,Vancouver,WA,"Clark County",98660,US,"TIGER/Line® dataset from the US Census Bureau"
145,"Sioux Falls"," South Dakota",2390,174360,73,43.546358,-96.69063,1,place,,,,,"Sioux Falls",SD,"Minnehaha County",57101,US,"TIGER/Line® dataset from the US Census Bureau"
146,Ontario," California",3468,173212,50,34.05936,-117.6203,1,place,,,,,Ontario,CA,"San Bernardino County",91758,US,"TIGER/Line® dataset from the US Census Bureau"
147,McKinney," Texas",2770,172298,62,33.141438,-96.588295,1,place,,,,,McKinney,TX,"Collin County",75069,US,"TIGER/Line® dataset from the US Census Bureau"
148,"Elk Grove"," California",4023,169743,42,38.44148,-121.307142,1,place,,,,,"Elk Grove",CA,"Sacramento County",95624,US,"TIGER/Line® dataset from the US Census Bureau"
149,Jackson," Mississippi",1523,169148,111,32.289656,-90.184201,1,place,,,,,Jackson,MS,"Hinds County",39201,US,"TIGER/Line® dataset from the US Census Bureau"
150,"Pembroke Pines"," Florida",5090,168587,33,26.021239,-80.340396,1,place,,,,,"Pembroke Pines",FL,"Broward County",33028,US,"TIGER/Line® dataset from the US Census Bureau"
151,Salem," Oregon",3495,167419,48,44.94878,-123.003655,1,place,,,,,Salem,OR,"Marion County",97301,US,"TIGER/Line® dataset from the US Census Bureau"
152,Springfield," Missouri",2047,167319,82,37.25807,-93.343673,1,place,,,,,Springfield,MO,"Greene County",65801,US,"TIGER/Line® dataset from the US Census Bureau"
153,Corona," California",4295,166785,39,33.752886,-116.055617,1,place,,,,,Corona,CA,"Riverside County",91719,US,"TIGER/Line® dataset from the US Census Bureau"
154,Eugene," Oregon",3810,166575,44,44.067988,-123.080181,1,place,,,,,Eugene,OR,"Lane County",97401,US,"TIGER/Line® dataset from the US Census Bureau"
155,"Fort Collins"," Colorado",3025,164207,54,40.594597,-105.127416,1,place,,,,,"Fort Collins",CO,"Larimer County",80521,US,"TIGER/Line® dataset from the US Census Bureau"
156,Peoria," Arizona",941,164173,174,33.573244,-112.245852,1,place,,,,,Peoria,AZ,"Maricopa County",85345,US,"TIGER/Line® dataset from the US Census Bureau"
157,Frisco," Texas",2648,163656,62,33.146336,-96.856347,1,place,,,,,Frisco,TX,"Denton County",75034,US,"TIGER/Line® dataset from the US Census Bureau"
158,Cary," North Carolina",2987,162320,54,35.763369,-78.788169,1,place,,,,,Cary,NC,"Wake County",27511,US,"TIGER/Line® dataset from the US Census Bureau"
159,Lancaster," California",1698,160106,94,34.713292,-118.15292,1,place,,,,,Lancaster,CA,"Los Angeles County",93534,US,"TIGER/Line® dataset from the US Census Bureau"
